Category	ID	Term	Genes	adj_pval
KEYWORDS	KEY008	EGF-like domain	"JAG1, DLL4, LDLR, HMCN2, FBN1, JAG2, PROC, SVEP1, GAS6, FBLN5, HYAL1, SELE, SELL, PLAU"	0.216598703
KEYWORDS	KEY009	Endoplasmic reticulum	"EPHX1, SELENOS, FMO3, GJA1, FMO5, CYP7A1, CHI3L1, GUCY2C, SOAT1, SCD, CYB5A, PROC, SOAT2, MX1, RSAD2, OAS1"	0.350991764
KEYWORDS	KEY010	Glycoprotein	"NECTIN1, DCT, ADORA1, GPC1, OLFML2A, TGFB3, B3GNT5, IFI30, FBN1, CHI3L1, OLR1, INHBA, SLC7A2, TNF, SDC4, IL7, DPEP2, IGFBP4, SELE, GNRHR, BVES, EDN1, AQP3, ENPEP, IL15, FAS, CD40, LDLR, EDNRA, GUCY2C, TIMP1, PROC, IL12A, SLC44A2, SLC44A4, SLA-DQB1, DSG1, SLA-DQA1, MMP1, HYAL1, MGAT4C, ITGB6, PLAU"	0.063251791
KEYWORDS	KEY011	Immunity	"C5, SLA-DMB, TLR2, IFI30, CFD, OLR1, LOC106504143, SLA-DMA, LOC100513601, MYD88, TRAF6, FYN, TLR10, DDX58, IRF1, CD40, B2M, SLA-DRA, ISG20, MX1, SLA-DQB1, SLA-DQA1, RSAD2, OAS1, SLA-1"	4.25E-07
KEYWORDS	KEY012	Inflammatory response	"CCL8, C5, CCL2, CCL5, MYD88, CCL4, TLR2, TLR10, CHI3L1, CXCL8, OLR1"	0.00263401
KEYWORDS	KEY013	Innate immunity	"C5, ISG20, MX1, MYD88, DDX58, IRF1, RSAD2, TLR2, OAS1, TLR10, CFD"	0.062617696
KEYWORDS	KEY014	Protease	"ENPEP, CFD, USP13, ATG4A, C2, PROC, USP18, MMP13, DNPEP, CASP10, ERAP1, MMP1, CTSS, DPEP2, MMP3, CPM, MMP12, CASP3, MMP15, LOC100522887, LOC100512727, PLAU, PSMA6, CASP1"	0.33664663
KEYWORDS	KEY015	Secreted	"OLFML2A, MGP, WNT9A, IFN-ALPHAOMEGA, CFD, WNT5A, CHI3L1, OLR1, BMP7, TIMP3, LOC106504143, TNF, SDC4, IL7, CHGB, CXCL9, APOA4, CCL8, CCL2, IL15, GREM1, B2M, TIMP1, CXCL10, PROC, IL12A, TIMP4, CXCL11, CCL4, MMP1, OAS1, C5, TGFB3, IFI30, INHBE, FBN1, INHBA, IGFBP4, IFNB1, LOX, CYR61, EDN1, CCL5, CCL23, CCL3L1, NAMPT, DRAXIN, PLA1A, FRZB, CCL20, CXCL2, HYAL1, PLAU, CTGF, CXCL8"	0.060512305
KEYWORDS	KEY016	Signal	"DCT, SAA3, SLC44A5, OLFML2A, WNT9A, LRRC66, EFNA3, FGF21, IFN-ALPHAOMEGA, NNT, CDCP1, BMP7, ADAM33, CPM, CHGB, VCAM1, CCL8, LOC100738826, CCL2, TAPBP, GREM1, SLA-6, MFAP3L, IGFBP6, TMEM25, MMP13, MMP1, OLFM3, MMP3, NPC1L1, MMP12, CD86, GABRP, LRRC4C, FCRLB, QPCT, FCGR2B, PPP1R15A, CLEC2B, ITGA5, LOC100513601, CTSS, FAM171A2, LOX, EPHA2, FXYD3, ADAMTS9, ANTXR1, IL21R, EFNA4, PLA1A, CD80, M6PR, SLA-1, IL18BP, C13H21orf62, IL7R, PRRG4, CHI3L1, CFD, LOC100525346, NEMP2, SDC4, IL7, EPHA1, FGFBP1, CXCL9, APOA4, EPX, RTN4RL1, LRFN1, SERPING1, IL10RA, IL12A, PI15, GALNT15, DSG1, TIMP4, SVEP1, MMP15, TMEM158, SLA-DMB, DCHS1, ICOSLG, PLAUR, INHBA, FZD5, SLA-DMA, FOLR2, DPEP2, SELE, SELL, TLR10, CP, IFNB1, CYR61, CHSY1, IL4I1, EDN1, CCL5, CD40, CD83, CCL23, CCL3L1, GUCY2C, LYPD6, SULF1, DRAXIN, DUSP13, PGAP3, CLCA4, CCL20, CTGF, PLAU, MUC4, ERP27, BAMBI, MGP, PTGS1, TPBG, TAPBPL, COL6A3, LOC106504143, ADM2, TRAF2, THBS1, FAS, SCARB2, B2M, TIMP1, CXCL10, SLA-DRA, ICAM1, SRPX2, SLA-DQB1, CXCL11, CCL4, SLA-DQA1, CSF1, FBLN5, OAF, LOC100737857, ADGRF1, ADGRF4, C5, TLR2, FBN1, HAVCR2, JAG2, C2, CCDC88B, CD109, FZD3, PCDH10, PCDH1, SLC9A4, LOC396757, MEGF9, SHH, SEMA6D, SLC24A5, SUSD2, CD274, FRZB, HYAL1, CD2, NECTIN1, UNC5B, SFTA2, ADAMTS14, FLRT3, GM2A, FAT2, CCDC80, ISM1, SLA-7, F2RL2, GAS6, UPK3A, IL12RB1, IL15, WDFY4, LDLR, PROC, ADAMTS4, IL20, DSC1, IL19, NRP1, CCR7, PTHLH, TGFB3, TFPI2, DLL4, DSG4, IFI30, INHBE, CDHR4, TIMD4, SLC35F6, ERAP1, TOR3A, IGFBP4, MFSD3, JAG1, PGF, EDNRA, ANGPTL2, CXCL2, ITGB6, CXCL8"	3.31E-07
KEYWORDS	KEY017	Tyrosine-protein kinase	"TXK, ERBB2, TEC, EPHA2, EPHA7, INSR, ABL2, FYN, EPHA1, JAK3"	0.133205819
SMART	SM00199	SCY	"CCL8, CXCL10, CCL2, CCL5, CXCL11, CCL4, CCL20, CXCL2, CCL23, CCL3L1, CXCL9, CXCL8"	0.006600613
SMART	SM00219	TyrKc	"TXK, ERBB2, TEC, EPHA2, EPHA7, ROS1, INSR, LOC100519652, ABL2, FYN, EPHA1, JAK3"	0.432145522
SMART	SM00233	PH	"TEC, ARHGEF6, DOCK10, ARAP2, FGD2, DOK1, IRS1, PLCD1, PLEKHA6, PLEKHA4, PLEK, PHLDA1, SH2B3, ARHGAP42, ACAP3, RASA3, PLD1, LOC100737105, PLEKHM1, RASAL1"	0.91648231
SMART	SM00252	SH2	"TEC, NCK2, ABL2, HSH2D, BLNK, SHF, JAK3, TXK, RIN3, SOCS1, SH2B3, FYN, CISH"	0.633452547
SMART	SM00407	IGc1	"SLA-7, LOC106504143, SLA-DRA, SLA-DMA, SLA-DMB, SLA-DQB1, LOC100513601, SLA-DQA1, TAPBP, B2M, SLA-6, TAPBPL, SLA-1"	0.002960179
KEGG	ssc04060	Cytokine-cytokine receptor interaction	"CCR7, HGF, TGFB3, IL7R, OSMR, LOC100626904, IFN-ALPHAOMEGA, CX3CL1, BMP7, TNF, TNFSF13B, TNFSF9, IL7, TNFSF15, CXCL9, IFNB1, CCL8, IL10RA, CCL2, CCL5, IL12RB1, TNFSF18, IL15, FAS, CD40, IL1RAP, CCL3L1, CXCL10, IL21R, IL12A, CXCL11, ACKR3, CSF1, TNFSF10, CCL4, CCL20, CXCL8"	2.29E-06
KEGG	ssc04062	Chemokine signaling pathway	"CCL8, CCR7, TIAM1, STAT2, GNG11, CCL2, CCL5, PLCB3, CCL23, CCL3L1, STAT3, CX3CL1, JAK3, CXCL10, CXCL11, CCL4, CXCL2, CCL20, CXCL9, LOC100737105, NFKBIA, PIK3CD, GRK7, CXCL8"	0.003289609
KEGG	ssc04064	NF-kappa B signaling pathway	"TNFAIP3, DDX58, CD40, TAB2, LOC100626904, BLNK, ICAM1, TNF, TNFSF13B, CCL4, MYD88, TRAF6, TRAF2, TICAM2, RIPK1, NFKBIA, PLAU, CXCL8, VCAM1, CFLAR"	3.22E-05
KEGG	ssc04068	FoxO signaling pathway	"GADD45B, TGFB3, IL7R, INSR, MDM2, BCL6, IRS1, PLK3, MAPK14, STAT3, FBXO32, SGK1, PCK1, TNFSF10, BNIP3, CDKN1A, PIK3CD"	0.046603523
KEGG	ssc04115	p53 signaling pathway	"GADD45B, SESN2, BID, BBC3, THBS1, MDM2, SERPINB5, CDKN1A, FAS, CASP3, ZMAT3, STEAP3"	0.028338887
KEGG	ssc04145	Phagosome	"SLA-DMB, THBS1, TLR2, SLA-6, OLR1, SLA-7, FCGR2B, SLA-DRA, SLA-DMA, ITGA5, SLA-DQB1, SLA-DQA1, CTSS, ATP6V1B1, M6PR, SLA-1, TCIRG1"	0.107083389
KEGG	ssc04151	PI3K-Akt signaling pathway	"HGF, GNG11, IL7R, INSR, MDM2, OSMR, TLR2, FGF21, CREB1, COL6A3, JAK3, IFN-ALPHAOMEGA, BRCA1, ITGA5, IL7, PCK1, IFNB1, PIK3CD, EPHA2, PGF, THBS1, IRS1, LOC100517053, EFNA4, SGK1, CSF1, CDKN1A, MYB, ITGB6"	0.22926979
KEGG	ssc04210	Apoptosis	"BID, TNF, AIFM1, CASP10, TNFSF10, FAS, TRAF2, CASP3, RIPK1, PIK3CD, NFKBIA, CFLAR"	0.021977514
KEGG	ssc04360	Axon guidance	"RND1, EFNA4, EPHA2, LRRC4C, EPHA7, UNC5B, SEMA3B, NTNG2, SEMA6D, ROBO1, FYN, NRP1, EPHA1, SEMA3E"	0.170420538
KEGG	ssc04380	Osteoclast differentiation	"FOSL2, TEC, STAT2, FOSL1, TAB2, LOC100626904, CREB1, BLNK, MAPK14, SPI1, MAP2K6, FCGR2B, TNF, CSF1, SOCS1, TRAF6, TRAF2, IRF9, FYN, IFNB1, NFKBIA, PIK3CD"	6.75E-04
KEGG	ssc04514	Cell adhesion molecules (CAMs)	"CD2, NECTIN1, LRRC4C, SLA-DMB, VTCN1, ICOSLG, CD40, SLA-6, CLDN16, SLA-7, LOC100525346, ICAM1, SLA-DRA, SLA-DMA, SDC4, SLA-DQB1, CD274, SLA-DQA1, NTNG2, CD80, SELE, SELL, CD86, SLA-1, VCAM1"	1.02E-04
KEGG	ssc04612	Antigen processing and presentation	"SLA-DMB, RFX5, TAPBP, CREB1, B2M, SLA-6, IFI30, SLA-7, SLA-DRA, TNF, SLA-DMA, SLA-DQB1, SLA-DQA1, CTSS, PSME2, SLA-1"	1.37E-04
KEGG	ssc04620	Toll-like receptor signaling pathway	"CCL5, CD40, TLR2, TAB2, MAPK14, CCL3L1, IFN-ALPHAOMEGA, CXCL10, MAP2K6, TNF, IL12A, CXCL11, CCL4, MYD88, TRAF6, CD80, TICAM2, RIPK1, CXCL9, CD86, IFNB1, NFKBIA, PIK3CD, CXCL8"	1.51E-06
KEGG	ssc04621	NOD-like receptor signaling pathway	"TNFAIP3, TNF, CCL2, CCL5, TRAF6, TAB2, MAPK14, NFKBIA, CXCL8, CASP1"	0.021668543
KEGG	ssc04622	RIG-I-like receptor signaling pathway	"DDX58, DHX58, MAPK14, IFN-ALPHAOMEGA, CXCL10, TNF, IL12A, CASP10, TRAF6, TRAF2, RIPK1, IFNB1, NFKBIA, CXCL8"	0.002279002
KEGG	ssc04623	Cytosolic DNA-sensing pathway	"CXCL10, ADAR, CCL5, CCL4, DDX58, ZBP1, RIPK1, IFN-ALPHAOMEGA, NFKBIA, IFNB1, CASP1"	0.025742207
KEGG	ssc04630	Jak-STAT signaling pathway	"STAT2, IL10RA, IL7R, IL12RB1, OSMR, IL15, STAT4, STAT3, JAK3, IFN-ALPHAOMEGA, IL21R, IL12A, IL20, IL7, IL19, SOCS1, IRF9, CISH, IFNB1, PIK3CD"	0.007369176
KEGG	ssc04668	TNF signaling pathway	"MAPK14, CREB1, CX3CL1, TNF, CASP10, TRAF2, SELE, NFKBIA, PIK3CD, CFLAR, VCAM1, EDN1, TNFAIP3, CCL2, CCL5, IL15, FAS, TAB2, MAP2K6, CXCL10, ICAM1, CSF1, CXCL2, CCL20, MMP3, CASP3, RIPK1"	1.29E-07
KEGG	ssc04672	Intestinal immune network for IgA production	"SLA-DRA, SLA-DMA, SLA-DMB, TNFSF13B, SLA-DQB1, SLA-DQA1, ICOSLG, IL15, CD80, CD40, CD86"	0.002212146
KEGG	ssc04940	Type I diabetes mellitus	"SLA-DMB, FAS, SLA-6, SLA-7, SLA-DRA, TNF, SLA-DMA, IL12A, SLA-DQB1, SLA-DQA1, CD80, CD86, SLA-1"	7.77E-05
KEGG	ssc05133	Pertussis	"C5, SERPING1, NOS2, IRF1, MAPK14, C2, TNF, IL12A, ITGA5, MYD88, TRAF6, CASP3, TICAM2, CASP1, CXCL8"	0.001320043
KEGG	ssc05134	Legionellosis	"TNF, IL12A, MYD88, BNIP3, CXCL2, TLR2, CASP3, NFKBIA, CXCL8, CASP1"	0.078344094
KEGG	ssc05140	Leishmaniasis	"TGFB3, SLA-DMB, NOS2, TLR2, TAB2, MAPK14, SLA-DRA, SLA-DMA, TNF, IL12A, SLA-DQB1, SLA-DQA1, MYD88, TRAF6, NFKBIA"	2.62E-04
KEGG	ssc05142	Chagas disease (American trypanosomiasis)	"TGFB3, CCL2, NOS2, CCL5, FAS, TLR2, PLCB3, MAPK14, CCL3L1, TNF, IL12A, MYD88, TRAF6, IFNB1, NFKBIA, PIK3CD, CXCL8, CFLAR"	0.002559517
KEGG	ssc05144	Malaria	"HGF, TGFB3, THBS1, CCL2, CD40, TLR2, ICAM1, TNF, IL12A, MYD88, SELE, VCAM1, CXCL8"	6.44E-04
KEGG	ssc05145	Toxoplasmosis	"PPIF, TGFB3, SLA-DMB, IL10RA, NOS2, CD40, TLR2, LDLR, TAB2, MAPK14, STAT3, MAP2K6, SLA-DRA, TNF, SLA-DMA, IL12A, SLA-DQB1, SLA-DQA1, MYD88, SOCS1, TRAF6, CASP3, NFKBIA, PIK3CD"	1.01E-05
KEGG	ssc05150	Staphylococcus aureus infection	"C5, FCGR2B, ICAM1, SLA-DRA, C2, SLA-DMA, SLA-DMB, SLA-DQB1, DSG1, SLA-DQA1, CFD"	0.003430881
KEGG	ssc05152	Tuberculosis	"BID, CEBPG, SLA-DMB, TGFB3, NOS2, TLR2, MAPK14, CREB1, IFN-ALPHAOMEGA, FCGR2B, TNF, SLA-DMA, CASP10, MYD88, TRAF6, CTSS, IFNB1, TCIRG1, IL10RA, RFX5, PLK3, SLA-DRA, IL12A, LOC102161161, SLA-DQB1, SLA-DQA1, CASP3"	2.84E-04
KEGG	ssc05160	Hepatitis C	"LOC100523731, STAT2, DDX58, IRF1, LDLR, MAPK14, CLDN16, STAT3, IFN-ALPHAOMEGA, TNF, CDKN1A, OAS2, TRAF6, OAS1, TRAF2, IRF9, RIPK1, IFIT1, IFNB1, NFKBIA, PIK3CD, CXCL8"	3.68E-04
KEGG	ssc05161	Hepatitis B	"STAT2, E2F3, TGFB3, DDX58, FAS, TLR2, STAT4, CREB1, STAT3, IFN-ALPHAOMEGA, TNF, CASP10, MYD88, CDKN1A, CASP3, TICAM2, IFNB1, NFKBIA, PIK3CD, CXCL8"	0.016570522
KEGG	ssc05162	Measles	"LOC100523731, TLR2, DOK1, STAT3, JAK3, IFN-ALPHAOMEGA, FCGR2B, ADAR, MYD88, TRAF6, IRF9, FYN, NFKBIA, IFNB1, PIK3CD, STAT2, TNFAIP3, BBC3, DDX58, FAS, TAB2, MX1, IL12A, TNFSF10, OAS2, OAS1"	9.82E-06
KEGG	ssc05164	Influenza A	"LOC100523731, SLA-DMB, MAPK14, IFN-ALPHAOMEGA, DNAJC3, SLA-DMA, ADAR, TNF, MYD88, IRF9, LOC100157336, NFKBIA, IFNB1, PIK3CD, CASP1, STAT2, CCL2, CCL5, DDX58, FAS, CXCL10, MAP2K6, ICAM1, SLA-DRA, MX1, IL12A, SLA-DQB1, SLA-DQA1, TNFSF10, RSAD2, OAS2, OAS1, CXCL8"	4.75E-07
KEGG	ssc05166	HTLV-I infection	"E2F3, ELK4, SLA-DMB, WNT9A, TGFB3, FOSL1, TBPL1, LOC100626904, CREB1, SPI1, JAK3, WNT5A, SLA-7, SLA-DMA, FZD5, TNF, SLC25A5, FZD3, ETS1, PIK3CD, NFKBIA, VCAM1, IL15, CD40, SLA-6, CREM, ICAM1, SLA-DRA, SLA-DQB1, SLA-DQA1, MYB, CDKN1A, ATF3, NRP1, SLA-1"	1.42E-04
KEGG	ssc05168	Herpes simplex infection	"LOC100523731, NECTIN1, C5, SLA-DMB, TBPL1, TLR2, IFN-ALPHAOMEGA, SLA-7, SLA-DMA, TNF, MYD88, TRAF6, TRAF2, IRF9, LOC100157336, NFKBIA, IFNB1, TAF4B, STAT2, CCL2, CCL5, DDX58, DAXX, IL15, FAS, TAB2, SLA-6, SLA-DRA, IL12A, SLA-DQB1, SLA-DQA1, OAS2, OAS1, CASP3, IFIT1, SLA-1"	2.40E-07
KEGG	ssc05169	Epstein-Barr virus infection	"LOC100523731, TNFAIP3, NFKBIE, IL10RA, DDX58, MDM2, TBPL1, CD40, TAB2, MAPK14, SLA-6, SPI1, STAT3, JAK3, MAP2K6, SLA-7, ICAM1, CDKN1A, TRAF6, TRAF2, RIPK1, NFKBIA, PIK3CD, SLA-1"	0.009321783
KEGG	ssc05200	Pathways in cancer	"ERBB2, BID, HGF, E2F3, WNT9A, TGFB3, GNG11, NKX3-1, MDM2, NOS2, PLCB3, FGF21, SPI1, PPARD, STAT3, WNT5A, CCDC6, FZD5, GNA13, RALGDS, TRAF6, TRAF2, LOC100157336, FZD3, PIK3CD, NFKBIA, PGF, SHH, FAS, LOC100517053, EPAS1, EDNRA, CDKN1A, MMP1, CASP3, RALB, RASSF1, CXCL8"	0.029958891
KEGG	ssc05202	Transcriptional misregulation in cancer	"CCR7, WT1, LMO2, ELK4, TLX3, MDM2, BCL6, CD40, ETV7, SPI1, TSPAN7, REL, ETV6, NR4A3, CDKN1A, SIX1, MMP3, LOC100157336, CD86, ETV1, PLAU, CXCL8"	0.003892666
KEGG	ssc05205	Proteoglycans in cancer	"ERBB2, TIAM1, HGF, GPC1, WNT9A, THBS1, MDM2, PLAUR, FAS, TLR2, MAPK14, WNT5A, STAT3, TIMP3, TNF, FZD5, ITGA5, SDC4, CDKN1A, CASP3, FZD3, PIK3CD, PLAU, CAV2"	0.010433992
KEGG	ssc05320	Autoimmune thyroid disease	"SLA-7, SLA-DRA, SLA-DMA, SLA-DMB, SLA-DQB1, SLA-DQA1, CD40, CD80, FAS, SLA-6, CD86, IFN-ALPHAOMEGA, SLA-1"	4.67E-04
KEGG	ssc05321	Inflammatory bowel disease (IBD)	"SLA-DMB, TGFB3, IL12RB1, TLR2, STAT4, STAT3, IL21R, SLA-DRA, SLA-DMA, TNF, IL12A, SLA-DQB1, SLA-DQA1"	0.002669649
KEGG	ssc05322	Systemic lupus erythematosus	"C5, SLA-DRA, C2, SLA-DMA, TNF, SLA-DMB, SLA-DQB1, SLA-DQA1, CD80, CD40, TRIM21, CD86"	0.189985769
KEGG	ssc05323	Rheumatoid arthritis	"TGFB3, SLA-DMB, CCL2, CCL5, IL15, TLR2, CCL3L1, ICAM1, SLA-DRA, TNF, SLA-DMA, TNFSF13B, SLA-DQB1, CSF1, SLA-DQA1, MMP1, CD80, CCL20, ATP6V1B1, MMP3, CD86, TCIRG1, CXCL8"	3.81E-07
KEGG	ssc05330	Allograft rejection	"SLA-DMB, FAS, CD40, SLA-6, SLA-7, SLA-DRA, TNF, SLA-DMA, IL12A, SLA-DQB1, SLA-DQA1, CD80, CD86, SLA-1"	5.15E-06
KEGG	ssc05332	Graft-versus-host disease	"SLA-7, SLA-DRA, SLA-DMA, TNF, SLA-DMB, SLA-DQB1, SLA-DQA1, CD80, FAS, SLA-6, CD86, SLA-1"	7.17E-05
KEGG	ssc05416	Viral myocarditis	"BID, SLA-DMB, SGCB, ABL2, CD40, SLA-6, SLA-7, SLA-DRA, ICAM1, SLA-DMA, SLA-DQB1, SLA-DQA1, CD80, FYN, CASP3, CD86, SLA-1"	1.65E-05
